company,website

www.3mcanada.ca,3M ESPE,Manufacturers

www.us.a-dec.com,A-dek Inc.,Manufacturers

https://www.aestheticminds.ca/,Aesthetic Minds Dental Design,Laboratories

http://www.airtechniques.com,Air Techniques,none

http://www.heapsanddoyle.com/,Al Heaps & Associates Inc.,Service Providers

http://www.medicom.ca,AMD Medicom Inc.,Dealers/Distributors

http://www.americanexpress.com/canada,American Express Canada,Service Providers

http://www.apkdentalsupplies.com,APK Instrument Canada Inc.,Manufacturers

http://www.argen.com,Argen Canada LLC,Manufacturers

http://www.begocanada.com,Bego Canada Inc.,none

http://www.bienair.com,Bien Air Medical Technologies,Manufacturers

http://www.biscocanada.com,Bisco Dental Products (Canada) Inc.,Manufacturers

http://www.cda-adc.ca,Canadian Dental Association,General

http://www.cdha.ca,Canadian Dental Hygienists Association,General

http://www.cdspi.com,CDSPI,Service Providers

www.cleardent.com,Cleardent,Service Providers

http://www.clinicalresearchdental.com,Clinical Research Dental Supplies & Services Inc.,Dealers/Distributors

http://www.coltene.com,Coltene Whaledent,Dealers/Distributors

http://www.compudent.ca,CompuDent Systems Inc.,Dealers/Distributors

http://www.crosstex.com,Crosstex International Inc.,Manufacturers

http://www.denplus.com,DenPlus Inc.,Dealers/Distributors

http://www.denttechsolutions.com,"Dent Tech Solutions, Inc.",Laboratories

http://www.mydentalcanada.com,Dental Canada Instrumentation,Dealers/Distributors

http://www.dsgtoronto.com,Dental Services Group of Toronto Inc.,Dealers/Distributors

http://www.dental-tribune.com,Dental Tribune International,General

http://www.dentalwings.com,Dental Wings Inc.,Dealers/Distributors

http://www.dentalez.com,DentalEZ Group,Manufacturers

http://www.dentaurum.ca,Dentaurum Canada Inc.,Manufacturers

http://www.dentsplysirona.ca,Dentsply Sirona Canada,Dealers/Distributors

http://www.diadent.com,DiaDent Group International Inc.,Dealers/Distributors

http://www.dentistlawyers.ca,DMC Law,Service Providers

http://www.dmg-america.com,DMG America LLC,Dealers/Distributors

http://www.heapsanddoyle.com,Experdent Consultants Inc.,Service Providers

http://www.gcamerica.com,GC America Inc.,Manufacturers

http://www.gsk.com,GSK Consumer Healthcare Inc.,General

http://www.hagerworldwide.com,"Hager Worldwide, Inc.",Dealers/Distributors

http://www.hansamed.net,Hansamed Ltd,Dealers/Distributors

www.healthsmartfinancial.com,Health Smart Financial Service Inc.,Service Providers

http://www.healthsmartfinancial.com,Health Smart Financial Services Inc.,Service Providers

http://www.hedycanada.com,Hedy Canada Limited,Manufacturers

http://www.henryschein.com,Henry Schein Canada,Dealers/Distributors

http://www.heraeus-kulzer-us.com,Heraeus Kulzer LLC,Dealers/Distributors

http://www.hillkindy.com,"Hill Kindy Practice Sales & Realty Inc., Brokerage",Service Providers

http://www.hu-friedy.com,Hu-Friedy Mfg. Co. Inc.,Manufacturers

http://www.innovativedental.ca,Innovative Dental Laboratories Ltd.,Manufacturers

http://www.ivoclarvivadent.com,Ivoclar Vivadent Inc.,Manufacturers

http://www.jjnjcanada.com,Johnson & Johnson Inc.,Dealers/Distributors

http://www.k-dental.ca,K-Dental Inc.,Dealers/Distributors

http://www.kennedyseminars.com,Kennedy Professional Seminars,Service Providers

http://www.kerrdental.com,Kerr Dental,Dealers/Distributors

http://www.keystoneindustries.com,Keystone Industries,Laboratories

http://www.mandco.ca,M & Co. Chartered Accountants Prof. Corp.,Service Providers
